ADMIN,geo_cluster,resource_level,average_hours,average_capital_gain,average_capital_loss,average_education_num,average_age,income_rate,sample_size,long,lat
Cambodia,1,Higher_Resource,42.19230769230769,0.970093215462793,0.5818181364911218,9.384615384615385,37.92307692307692,34.61538461538461,26,11661701.415081548,1410479.0271566974
Canada,1,Higher_Resource,41.58895705521472,0.7769894091924414,0.5585399822233392,10.742331288343559,42.84662576687116,36.809815950920246,163,-10912946.86951967,6835056.927069259
China,1,Higher_Resource,39.347517730496456,0.6428201139393284,0.8020277465930429,11.156028368794326,40.00709219858156,31.20567375886525,141,11551343.333010506,4064742.4063213808
Colombia,0,Low_Resource,40.1219512195122,0.29906743987138995,0.2750365074966259,9.304878048780488,39.19512195121951,4.878048780487805,82,-8125881.980837849,436686.73553668836
Cuba,1,Higher_Resource,40.526315789473685,0.5294181262568026,0.27993059062078013,9.503759398496241,45.88721804511278,25.563909774436087,133,-8780037.209289612,2405343.6625076784
Dominican Republic,0,Low_Resource,41.58762886597938,0.28756173186099027,0.15667473916356572,7.278350515463917,37.63917525773196,5.154639175257731,97,-7835065.389324876,2099861.460562363
Ecuador,0,Low_Resource,40.30232558139535,0.578802865236305,0.0,9.209302325581396,37.46511627906977,13.953488372093023,43,-8715931.245227968,-161763.41476754073
El Salvador,0,Low_Resource,36.57142857142857,0.5204665824991226,0.1028781383290664,6.680272108843537,33.85034013605442,7.482993197278912,147,-9882226.814872146,1526273.4276039675
France,1,Higher_Resource,43.111111111111114,0.7040185983414806,0.20140654199718555,12.083333333333334,41.083333333333336,44.44444444444444,36,-319874.43217127566,4721420.08210808
Germany,1,Higher_Resource,41.19170984455958,1.1209423782552481,0.2714148521767525,11.041450777202073,39.015544041450774,30.05181347150259,193,1144028.598955872,5685816.793104371
Greece,1,Higher_Resource,46.69387755102041,1.259804239069186,0.6247710969844676,9.755102040816327,45.83673469387755,36.734693877551024,49,2526330.7667767657,4344025.393341105
Guatemala,0,Low_Resource,38.654761904761905,0.3010941468486986,0.0877932025621303,6.5,31.916666666666668,3.571428571428571,84,-10048636.350196278,1745691.1615840523
Haiti,0,Low_Resource,37.6231884057971,0.26830381725876873,0.3221488855770157,8.44927536231884,38.73913043478261,13.043478260869565,69,-8079211.353138198,2101664.365014732
Honduras,0,Low_Resource,36.63157894736842,0.3851513788750787,0.7678469910917542,8.31578947368421,35.421052631578945,10.526315789473683,19,-9628375.253202157,1648238.3227576492
Hungary,1,Higher_Resource,37.833333333333336,1.3228617322369172,0.41222110687010194,11.38888888888889,49.22222222222222,33.33333333333333,18,2152472.4503979236,5248400.875285483
India,1,Higher_Resource,41.8843537414966,1.0683837919992973,0.4626235383866861,12.54421768707483,38.51020408163265,42.17687074829932,147,8850425.764535401,2549147.19468025
Iran,1,Higher_Resource,43.767857142857146,0.8697044767970648,0.5365105202151957,12.285714285714286,38.875,39.285714285714285,56,6036273.428606459,3615942.5975018595
Ireland,1,Higher_Resource,42.5,0.7154807500368157,0.4157124179914519,9.944444444444445,37.833333333333336,27.77777777777778,36,-890698.6727439762,5913418.4223450525
Italy,1,Higher_Resource,41.33,0.8770505131593331,0.22541058453342663,8.71,45.41,33.0,100,1349995.5539665285,4753719.85441464
Jamaica,0,Low_Resource,39.0873786407767,0.4113242736949158,0.07323566356024705,9.737864077669903,37.213592233009706,13.592233009708737,103,-8598074.280693624,2016815.3189097831
Japan,1,Higher_Resource,42.157303370786515,1.0106612601891216,0.2529567012114224,11.370786516853933,37.70786516853933,34.831460674157306,89,15352140.174906416,4187951.4203924835
Laos,0,Low_Resource,40.285714285714285,0.3794107971111341,0.35534356856038996,8.904761904761905,36.666666666666664,9.523809523809524,21,11536515.192212963,2050990.2501748668
Mexico,0,Low_Resource,40.41005586592179,0.3423622206924669,0.13493824271846114,6.039106145251397,33.745251396648044,5.251396648044693,895,-11405982.191588562,2661494.848815158
Nicaragua,0,Low_Resource,36.875,0.3383514792548696,0.3101579241126695,8.979166666666666,35.875,6.25,48,-9453838.449006392,1428655.160586564
Peru,0,Low_Resource,36.91111111111111,0.16695918989409056,0.16716444958638055,9.88888888888889,36.86666666666667,8.88888888888889,45,-8272000.486156368,-1022056.2927084322
Philippines,1,Higher_Resource,39.677304964539005,0.6787851776213357,0.3685553557175425,10.787234042553191,39.86524822695036,29.78723404255319,282,13666168.653608857,1308076.241720932
Poland,0,Low_Resource,38.617283950617285,0.5084453104803596,0.18764922793016303,10.148148148148149,42.03703703703704,19.753086419753085,81,2147289.179014202,5798628.3504315475
Portugal,0,Low_Resource,42.274193548387096,0.4071918561084291,0.0,6.870967741935484,40.54838709677419,19.35483870967742,62,-895761.2551583417,4407110.088663919
Puerto Rico,0,Low_Resource,38.87428571428571,0.403312252309242,0.38937431916274906,8.331428571428571,39.55428571428571,11.428571428571429,175,-7392160.399447228,2027889.0932664801
